"","CMCSA","FISV","MSFT","JNJ","CSCO","ADS","CL","BBT","AAPL","BFB","Rf","SP500"
"2010-04-12",7.05617,12.9425,24.330967,49.908638,21.272734,63.483128,31.786352,26.830503,23.178946,11.006637,2.593,1196.47998
"2010-04-13",7.071318,12.9475,24.435289,50.345566,21.200575,63.385284,31.696388,26.405001,23.192335,11.015789,2.564,1197.300049
"2010-04-14",7.169795,13.0775,24.73221,50.199932,21.553377,65.811905,31.730131,27.224489,23.504208,10.937077,2.596,1210.650024
"2010-04-15",7.143281,13.37,24.772327,50.215252,21.817982,65.880386,31.583918,26.932934,23.81321,10.922434,2.562,1211.670044
"2010-04-16",6.938755,13.2525,24.611835,49.839664,21.633562,65.430298,31.583918,26.60199,23.667795,10.730234,2.471,1192.130005
"2010-04-19",7.037233,13.2975,24.908749,50.613853,21.70573,65.76297,31.54644,26.798981,23.636227,10.82725,2.523,1197.52002
"2010-04-20",7.022083,13.3775,25.165539,50.583179,21.793928,66.790367,31.692631,27.232372,23.398975,10.852877,2.544,1207.170044
"2010-04-21",7.018292,13.3775,25.141466,50.12326,21.842037,66.741432,31.752607,27.665762,24.798574,10.858366,2.495,1205.939941
"2010-04-22",7.120554,13.46,25.189615,49.655685,21.906185,71.927315,31.881695,27.059023,25.492147,10.878503,2.54,1208.670044
"2010-04-23",7.181156,13.5225,24.844555,49.85498,22.026468,75.087784,31.612143,27.011734,25.909252,10.893144,2.593,1217.280029
"2010-04-26",7.226608,13.5375,24.964922,49.640354,22.106651,74.667046,31.965206,26.26317,25.782022,10.896808,2.575,1212.050049
"2010-04-27",6.991781,13.41,24.756279,49.272423,21.657619,73.375458,31.733631,25.656425,25.068346,10.647865,2.434,1183.709961
"2010-04-28",7.124345,13.5075,24.804424,49.533051,21.681679,73.150421,32.268913,25.766743,25.026253,10.625898,2.517,1191.359985
"2010-04-29",7.575059,13.6725,24.876652,49.831989,22.074577,74.001663,32.192993,26.412876,25.699749,10.755859,2.487,1206.780029
"2010-04-30",7.487947,12.7825,24.507513,49.287758,21.593475,73.443954,31.927244,26.192244,24.977465,10.649693,2.42,1186.689941
"2010-05-03",7.722773,13.03,24.764303,50.077282,22.08259,75.694435,31.991779,26.925056,25.480667,10.702777,2.478,1202.26001
"2010-05-04",7.525823,12.745,24.178503,49.594372,21.296791,74.852951,31.460289,26.428637,24.746908,10.345836,2.39,1173.599976
"2010-05-05",7.476585,12.7375,23.953804,49.931641,21.288769,73.982124,31.403351,26.160732,24.489573,10.395256,2.303,1165.869995
"2010-05-06",7.01072,12.93,23.255657,48.597889,20.438829,70.537903,31.042696,25.388512,23.557777,10.261632,2.144,1128.150024
"2010-05-07",6.953906,12.755,22.637753,48.5289,19.813395,69.960609,30.450466,25.40427,22.563812,10.09689,2.172,1110.880005
"2010-05-10",6.828915,13.175,23.223558,49.63269,20.952002,74.344154,31.577984,26.806866,24.298233,10.481291,2.258,1159.72998
"2010-05-11",6.847855,13.0975,23.175404,49.571373,20.815693,74.81382,31.445116,27.43725,24.54027,10.539866,2.248,1155.790039
"2010-05-12",6.88573,13.1425,23.624798,49.747677,21.44112,76.301086,31.718437,28.059742,25.07313,10.779657,2.276,1171.670044
"2010-05-13",6.726653,12.4875,23.464302,49.571373,20.470898,75.185631,31.559008,27.713026,24.716295,10.700947,2.272,1157.439941
"2010-05-14",6.666052,12.4325,23.215528,49.034801,19.99781,68.4244,31.418537,26.830503,24.281975,10.479458,2.149,1135.680054
"2010-05-17",6.855428,12.5075,23.223558,48.965805,19.941689,69.285446,31.817158,26.578346,24.320242,10.570982,2.179,1136.939941
"2010-05-18",6.70014,12.3225,23.05427,48.268276,19.532749,68.121078,31.566601,25.640663,24.142302,10.539866,2.091,1120.800049
"2010-05-19",6.658479,12.19,22.764074,47.693382,19.452568,68.83535,31.18697,25.443672,23.757723,10.508746,2.11,1115.050049
"2010-05-20",6.359263,11.7225,21.853197,46.413288,18.690821,67.260025,30.48464,23.970158,22.745571,10.074925,2.026,1071.589966
"2010-05-21",6.450162,11.8575,21.635544,46.666225,18.8111,68.306976,30.21509,24.710852,23.181812,10.181094,1.994,1087.689941
"2010-05-24",6.351689,11.665,21.176081,46.428596,18.738932,68.561394,29.888603,23.718006,23.606569,10.078588,2.018,1073.650024
"2010-05-25",6.692565,11.7075,21.014856,46.259975,18.690821,67.74926,29.736755,24.048954,23.459248,9.990721,1.973,1074.030029
"2010-05-26",6.711503,11.6125,20.160397,45.731064,18.35405,67.915604,29.603884,23.733767,23.35305,9.966925,2.056,1067.949951
"2010-05-27",6.942543,12.0125,20.958433,45.661446,18.979485,70.322639,29.903784,24.490223,24.237003,10.333021,2.185,1103.060059
"2010-05-28",6.851643,11.8875,20.797215,45.096767,18.570541,69.138695,29.645645,23.828323,24.574713,10.151802,2.097,1089.410034
"2010-06-01",6.825129,11.63,20.869761,45.452583,18.442249,66.858856,29.205269,23.457973,24.952587,10.082248,2.095,1070.709961
"2010-06-02",6.96148,11.79,21.329241,46.202904,18.722893,68.903854,29.695002,24.214432,25.251074,10.430037,2.132,1098.380005
"2010-06-03",6.969054,11.905,21.651672,46.23386,19.019571,70.577042,29.945553,24.001677,25.171667,10.666253,2.158,1102.829956
"2010-06-04",6.738016,11.555,20.789156,44.87244,18.410177,67.13282,29.322948,23.032469,24.486702,10.432836,1.979,1064.880005
"2010-06-07",6.575153,11.3325,20.386105,44.864704,18.249809,64.637726,29.47481,22.725159,24.006456,10.371214,1.968,1050.469971
"2010-06-08",6.601664,11.43,20.241013,45.359768,18.410177,65.156311,29.900007,22.835476,23.852427,10.67746,1.961,1062
"2010-06-09",6.597878,11.435,19.983059,44.996208,18.265844,64.813843,29.884821,22.622723,23.265999,10.851123,1.982,1055.689941
"2010-06-10",6.844066,11.79,20.152336,45.251488,18.257832,66.046738,30.169537,23.741648,23.965321,11.049059,2.108,1086.839966
"2010-06-11",6.889517,11.8775,20.684359,45.220531,18.370083,67.896027,30.048048,23.804688,24.252317,10.970634,2.01,1091.599976
"2010-06-14",6.874366,11.9575,20.555384,45.18959,18.249809,66.986053,30.1126,23.481613,24.325981,11.090143,2.052,1089.630005
"2010-06-15",7.063745,12.2275,21.425966,45.746529,18.706856,68.933205,30.678242,23.915003,24.843534,11.200315,2.083,1115.22998
"2010-06-16",6.965269,12.1875,21.216387,45.823898,18.674786,69.530075,30.609919,23.875605,25.566769,11.228326,2.065,1114.609985
